"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Nueces","TX","Corpus Christi",186,1415,-0.0187239944521498,-0.0445644834571236,0.052827380952381,91625
2014-11-30,"Hamilton","TN","Chattanooga",187,1231,0.00407830342577488,0.0190397350993377,0.0779334500875657,104952
2014-11-30,"Madison","AL","Huntsville",188,1078,-0.0146252285191956,-0.0270758122743682,0,107394
2014-11-30,"Marion","FL","Ocala",189,954,0.00104931794333683,0.00104931794333683,0.0553097345132743,101831
2014-11-30,"Anoka","MN","Minneapolis-St Paul",190,1476,0.00957592339261286,0.00408163265306122,-0.0133689839572193,112625
2014-11-30,"Somerset","NJ","New York",191,2282,0.00219587176108915,-0.00131291028446389,0.0279279279279279,99761
2014-11-30,"Manatee","FL","Sarasota",192,1634,-0.00244200244200244,0.0161691542288557,0.0474358974358974,116037
2014-11-30,"Luzerne","PA","Scranton",193,834,-0.00832342449464923,0.0733590733590734,0.109042553191489,99349
2014-11-30,"Cumberland","NC","Fayetteville",194,872,0.00229885057471264,-0.0022883295194508,-0.0045662100456621,92934
2014-11-30,"Saint Louis City","MO","St. Louis",195,863,-0.00918484500574053,0.0117233294255569,0.0435308343409915,82281
2014-11-30,"Chesterfield","VA","Richmond",196,1433,0.0134370579915134,0.022111269614836,0.025035765379113,118357
2014-11-30,"Marion","OR","Salem",197,1246,0.0229885057471264,0.0568278201865988,0.0997352162400706,76535
2014-11-30,"Brazoria","TX","Houston",198,1592,0.00505050505050505,0.0107936507936508,0.074949358541526,77688
2014-11-30,"Loudoun","VA","Washington",199,2292,0.000873362445414847,-0.00130718954248366,0.000436490615451768,104248
2014-11-30,"Rockland","NY","New York",200,2492,0.00809061488673139,0.0229885057471264,0.018389865140989,64818
2014-11-30,"Bell","TX","Killeen",201,999,-0.018664047151277,-0.0338491295938104,0.018348623853211,79673
2014-11-30,"McHenry","IL","Chicago",202,1604,0.01198738170347,0.000623830318153462,-0.00926497838171711,103692
2014-11-30,"Henrico","VA","Richmond",203,1368,0.00366837857666911,0.00736377025036819,-0.00436681222707424,91282
2014-11-30,"Davis","UT","Ogden",204,1318,-0.000758150113722517,-0.0119940029985008,-0.0531609195402299,82399
2014-11-30,"Albany","NY","Albany",205,1518,0.00663129973474801,0.0242914979757085,0.00131926121372032,65560
2014-11-30,"Lorain","OH","Cleveland",206,1044,0.0126091173617847,0.0225269343780607,-0.00191204588910134,99819
2014-11-30,"Larimer","CO","Fort Collins",207,1589,0.0185897435897436,0.0447074293228139,0.0928473177441541,103453
2014-11-30,"Northampton","PA","Allentown",208,1433,0.0163120567375887,0.0429403202328967,0.0513573000733676,90274
2014-11-30,"Escambia","FL","Pensacola",209,985,0.0165118679050568,0.035751840168244,0.0753275109170306,101695
2014-11-30,"Dutchess","NY","Poughkeepsie",210,1890,0.00746268656716418,0.0647887323943662,0.127684964200477,72376
2014-11-30,"Lake","FL","Orlando",211,1250,0.00240577385725742,0.00644122383252818,0.0154346060113729,94863
2014-11-30,"Fayette","KY","Lexington",212,1094,0.0301318267419962,0.0694037145650049,-0.0327144120247569,84399
2014-11-30,"Winnebago","IL","Rockford",213,949,-0.00419727177334732,-0.0365482233502538,-0.0519480519480519,85552
2014-11-30,"Rockingham","NH","Boston",214,1798,-0.0158730158730159,-0.0180229382850901,0.0268418046830383,106676
2014-11-30,"Boulder","CO","Boulder",215,2093,0.00287494010541447,0.00335570469798658,0.0194836824159766,96001
2014-11-30,"Anchorage","AK","Anchorage",216,2037,-0.00537109375,0.00196753566158387,0.0345352971051295,70183
2014-11-30,"Galveston","TX","Houston",217,1441,-0.00207756232686981,0.00138985406532314,0.0572267057960381,103801
2014-11-30,"Gloucester","NJ","Philadelphia",218,1594,-0.0286410725167581,-0.010552451893234,0.0748482805124747,91875
2014-11-30,"Howard","MD","Baltimore",219,2446,0.00865979381443299,0.00328137817883511,0.0217209690893901,87959
2014-11-30,"Douglas","CO","Denver",220,2410,0.0181664554288128,0.0338910338910339,0.0870545782589084,93953
2014-11-30,"Lancaster","NE","Lincoln",221,1135,0.00531443755535872,0.0318181818181818,0.0923965351299326,80291
2014-11-30,"Spartanburg","SC","Spartanburg",222,979,-0.00203873598369011,0,-0.00305498981670061,84852
2014-11-30,"Cumberland","ME","Portland",223,1580,0.013470173187941,0.020671834625323,0.0561497326203209,92211
2014-11-30,"Ingham","MI","Lansing",224,925,-0.0170031880977683,-0.00857449088960343,0.0632183908045977,68875
2014-11-30,"Erie","PA","Erie",225,1132,0.0161579892280072,0.116370808678501,0.152749490835031,72843
