"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Lake Havasu City, AZ","AZ",204,1045,0.0165369649805447,0.0523665659617321,0.0165369649805447,64344
2014-11-30,"Saginaw, MI","MI",205,698,0.0512048192771084,0.0889235569422777,0.0356083086053412,69079
2014-11-30,"Lake Charles, LA","LA",206,1293,0.0253766851704996,0.0838222967309304,0.135206321334504,46962
2014-11-30,"Johnson City, TN","TN",207,992,0,0.0132788559754852,0.160233918128655,68617
2014-11-30,"Elkhart, IN","IN",208,933,-0.0168598524762908,-0.00213903743315508,-0.0106044538706257,50206
2014-11-30,"Seaford, DE","DE",209,1337,0.00300075018754689,0,-0.0183553597650514,49240
2014-11-30,"Yuma, AZ","AZ",210,946,0.00852878464818763,0.0139335476956056,0.0161117078410312,37780
2014-11-30,"Racine, WI","WI",211,1269,-0.0223420647149461,-0.0522778192681105,-0.0290742157612854,36505
2014-11-30,"Bloomington, IN","IN",212,1159,0.0338983050847458,0.0741427247451344,0.0507706255666364,51444
2014-11-30,"Athens, GA","GA",213,1065,0.0133206470028544,0.0123574144486692,0.0220729366602687,51987
2014-11-30,"Torrington, CT","CT",214,1548,0.0164149704530532,-0.00705580500320718,0.0847932725998598,64370
2014-11-30,"Greenville, NC","NC",215,953,0.00953389830508475,0.0347448425624321,0.0542035398230088,51634
2014-11-30,"St. Cloud, MN","MN",216,1186,-0.00503355704697987,0.0162810625535561,0.0961182994454713,54749
2014-11-30,"Anderson, SC","SC",217,988,-0.00202020202020202,0.0356394129979036,0.135632183908046,63477
2014-11-30,"Hilton Head Island, SC","SC",218,1517,0.00530152418820411,0.00264375413086583,0.128720238095238,80129
2014-11-30,"Rochester, MN","MN",219,1266,-0.00627943485086342,0.00635930047694754,0.0377049180327869,61233
2014-11-30,"Kingston, NY","NY",220,1527,-0.039018250471995,-0.0614628149969269,-0.0205259781911482,49523
2014-11-30,"Daphne, AL","AL",221,1274,-0.00778816199376947,-0.0154559505409583,0.0528925619834711,62674
2014-11-30,"Destin, FL","FL",222,1245,-0.00240384615384615,-0.00559105431309904,0.00565428109854604,74826
2014-11-30,"Gainesville, GA","GA",223,1158,0.00433651344319167,0.00783289817232376,0.0122377622377622,51901
2014-11-30,"Jacksonville, NC","NC",224,910,0,0,-0.0172786177105832,49690
2014-11-30,"Redding, CA","CA",225,1248,0.012987012987013,0.0478589420654912,0.0246305418719212,44941
2014-11-30,"Monroe, LA","LA",226,1139,0.0106477373558119,-0.0281569965870307,-0.0289855072463768,46146
2014-11-30,"Joplin, MO","MO",227,792,0.0140845070422535,0.0503978779840849,0.0352941176470588,25988
2014-11-30,"Lebanon, NH","NH",228,1328,-0.0111690245718541,0.00226415094339623,0.102990033222591,42208
2014-11-30,"El Centro, CA","CA",229,1409,-0.0289455547898001,0.0398523985239852,0.0406203840472674,32709
2014-11-30,"Columbia, MO","MO",230,1136,-0.00438212094653812,-0.0155979202772964,-0.0087260034904014,38070
2014-11-30,"Terre Haute, IN","IN",231,808,-0.00123609394313968,-0.00492610837438424,0.0292993630573248,53890
2014-11-30,"Muskegon, MI","MI",232,822,0.0185873605947955,0.0236612702366127,0.130674002751032,58179
2014-11-30,"East Stroudsburg, PA","PA",233,1221,0.00493827160493827,0.00909090909090909,0.0132780082987552,66964
