"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Fresno High Roeding","CA","Fresno","Fresno","Fresno",142,979,0.0041025641025641,0.0124095139607032,-0.0190380761523046,13057
2014-11-30,"Rogers Park","IL","Chicago","Cook","Chicago",143,1556,-0.0311332503113325,-0.0347394540942928,-0.0176767676767677,8425
2014-11-30,"Albany Park","IL","Chicago","Cook","Chicago",144,1667,-0.0211391661773341,-0.0402993667242372,0.0214460784313725,5713
2014-11-30,"Downtown","TN","Memphis","Shelby","Memphis",145,633,-0.015552099533437,-0.00627943485086342,-0.0124804992199688,15469
2014-11-30,"Kensington","NY","New York","Kings","New York",146,2241,-0.0149450549450549,-0.0475988100297493,-0.0552276559865093,1255
2014-11-30,"Kempsville","VA","Virginia Beach","Virginia Beach City","Virginia Beach",147,1400,0.0050251256281407,0.0174418604651163,0.0130246020260492,17476
2014-11-30,"Flatlands","NY","New York","Kings","New York",148,1993,-0.0225600784698382,-0.0734542073454207,-0.0961451247165533,4988
2014-11-30,"Richmond Hill","NY","New York","Queens","New York",149,1904,-0.0103950103950104,-0.0185567010309278,0.0143846563665424,2652
2014-11-30,"Encanto","AZ","Phoenix","Maricopa","Phoenix",150,1103,0.00638686131386861,0.00914913083257091,0.0636451301832208,14996
2014-11-30,"Little Havana","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",151,1376,-0.000726216412490922,-0.00506146059291396,-0.00649819494584838,3915
2014-11-30,"Northwest","CA","San Diego","San Diego","Chula Vista",152,1997,0.00756811301715439,0.0168024439918534,0.0395627277459656,8090
2014-11-30,"Central City","CA","Los Angeles","Los Angeles","Los Angeles",153,2015,0.0338635197537199,0.0939196525515744,0.111417539988969,2177
2014-11-30,"Maspeth","NY","New York","Queens","New York",154,2206,0.0109990834097159,0.0318054256314312,0.107429718875502,3704
2014-11-30,"Westwood","CA","Los Angeles","Los Angeles","Los Angeles",155,3997,0.00200551516670845,0.0214669051878354,0.137773982351267,9706
2014-11-30,"Queens Village","NY","New York","Queens","New York",156,2055,-0.00484261501210654,-0.0153330138955438,0.078740157480315,8422
2014-11-30,"Flagami","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",157,1695,0.00952948183442525,0.0266505148394912,0.0335365853658537,10377
2014-11-30,"Lake Highlands","TX","Dallas-Fort Worth","Dallas","Dallas",158,1130,0.00444444444444444,0.00266193433895297,0,7029
2014-11-30,"Hoover","CA","Fresno","Fresno","Fresno",159,1177,0.00684345594525235,0.019047619047619,0.0181660899653979,10636
2014-11-30,"Bay Ridge","NY","New York","Kings","New York",160,2313,-0.0169995750106247,-0.0414421881475342,0.0167032967032967,4108
2014-11-30,"Lake View","IL","Chicago","Cook","Chicago",161,2088,-0.0315398886827458,-0.0457038391224863,0.045045045045045,13570
2014-11-30,"Lone Mountain","NV","Las Vegas","Clark","Las Vegas",162,1241,0.0040453074433657,0.0122349102773246,0.0205592105263158,17125
2014-11-30,"Casas Adobes","AZ","Tucson","Pima","Tucson",163,1154,-0.00345423143350604,0.00347826086956522,0.0239574090505768,18295
2014-11-30,"Northeast Anaheim","CA","Los Angeles","Orange","Anaheim",164,2445,-0.00122549019607843,0.000818665575112567,0.0273109243697479,8177
2014-11-30,"Englewood","IL","Chicago","Cook","Chicago",165,1226,-0.00728744939271255,-0.00728744939271255,-0.0104923325262308,5493
